Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Type,PrcntRedArea,AnnTemp,AnnTime,AnnAtm,AnnCoolRate,AppMagField,ReannTemp,ReannTime,ReannTime,ReannCoolRate,AppMagField,Phase,GrainSize,Ms,Hc,Tc,MuMax,ER,TS,YS,Elong,HV,Cost
87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.36,,877,1971,24.33,,,,,4.83
86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.37,,885,1886,24.68,,,,,5.17
85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.38,,893,1815,24.87,,,,,5.51
84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.39,,901,1751,24.91,,,,,5.84
83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.4,,908,1696,24.81,,,,,6.18
82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.41,,914,1648,24.64,,,,,6.51
81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.41,,921,1607,24.33,,,,,6.85
80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.42,,927,1572,23.89,,,,,7.18
79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.43,,932,1540,23.41,,,,,7.52
78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.43,,937,1515,22.76,,,,,7.85
77,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.44,,942,1502,22.06,,,,,8.18
76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.45,,947,1491,21.34,,,,,8.52
75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.45,,951,1489,20.53,,,,,8.85
74,26,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,954,1496,19.59,,,,,9.18
73,27,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,958,1512,18.67,,,,,9.51
72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.46,,961,1535,17.82,,,,,9.84
71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,963,1573,16.85,,,,,10.18
70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,966,1626,15.94,,,,,10.51
69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,968,1665,15.04,,,,,10.84
68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,970,1715,14.04,,,,,11.17
67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,971,1779,13.24,,,,,11.5
66,34,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,1000,,Vacuum,360,0,25,0,Air,0,0,,,2.47,,973,1831,12.5,,,,,11.83
